Award_Status,Ceremony_Year,Session,Category,Nominee,Film,Role
Nominee,2017,90,BEST PICTURE,Lady Bird,NA,NA
Nominee,2017,90,BEST PICTURE,Phantom Thread,NA,NA
Nominee,2017,90,BEST PICTURE,The Post,NA,NA
Winner,2017,90,BEST PICTURE,The Shape of Water,NA,NA
Nominee,2017,90,BEST PICTURE,"Three Billboards outside Ebbing, Missouri",NA,NA
Nominee,2018,91,ACTOR IN A LEADING ROLE,Christian Bale,Vice,Dick Cheney
Nominee,2018,91,ACTOR IN A LEADING ROLE,Bradley Cooper,A Star Is Born,Jack
Nominee,2018,91,ACTOR IN A LEADING ROLE,Willem Dafoe,At Eternity's Gate,Vincent Van Gogh
Winner,2018,91,ACTOR IN A LEADING ROLE,Rami Malek,Bohemian Rhapsody,Freddie Mercury
Nominee,2018,91,ACTOR IN A LEADING ROLE,Viggo Mortensen,Green Book,Tony Lip
Winner,2018,91,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Green Book,Dr. Donald Shirley
Nominee,2018,91,ACTOR IN A SUPPORTING ROLE,Adam Driver,BlacKkKlansman,Flip Zimmerman
Nominee,2018,91,ACTOR IN A SUPPORTING ROLE,Sam Elliott,A Star Is Born,Bobby
Nominee,2018,91,ACTOR IN A SUPPORTING ROLE,Richard E. Grant,Can You Ever Forgive Me?,Jack Hock
Nominee,2018,91,ACTOR IN A SUPPORTING ROLE,Sam Rockwell,Vice,George W. Bush
Nominee,2018,91,ACTRESS IN A LEADING ROLE,Yalitza Aparicio,Roma,Cleo
Nominee,2018,91,ACTRESS IN A LEADING ROLE,Glenn Close,The Wife,Joan Castleman
Winner,2018,91,ACTRESS IN A LEADING ROLE,Olivia Colman,The Favourite,Queen Anne
Nominee,2018,91,ACTRESS IN A LEADING ROLE,Lady Gaga,A Star Is Born,Ally
Nominee,2018,91,ACTRESS IN A LEADING ROLE,Melissa McCarthy,Can You Ever Forgive Me?,Lee Israel
Nominee,2018,91,ACTRESS IN A SUPPORTING ROLE,Amy Adams,Vice,Lynne Cheney
Nominee,2018,91,ACTRESS IN A SUPPORTING ROLE,Marina de Tavira,Roma,Sra. Sofia
Winner,2018,91,ACTRESS IN A SUPPORTING ROLE,Regina King,If Beale Street Could Talk,Sharon Rivers
Nominee,2018,91,ACTRESS IN A SUPPORTING ROLE,Emma Stone,The Favourite,Abigail
Nominee,2018,91,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,The Favourite,Lady Sarah
Nominee,2018,91,DIRECTING,BlacKkKlansman,NA,NA
Nominee,2018,91,DIRECTING,Cold War,NA,NA
Nominee,2018,91,DIRECTING,The Favourite,NA,NA
Winner,2018,91,DIRECTING,Roma,NA,NA
Nominee,2018,91,DIRECTING,Vice,NA,NA
Nominee,2018,91,BEST PICTURE,Black Panther,NA,NA
Nominee,2018,91,BEST PICTURE,BlacKkKlansman,NA,NA
Nominee,2018,91,BEST PICTURE,Bohemian Rhapsody,NA,NA
Nominee,2018,91,BEST PICTURE,The Favourite,NA,NA
Winner,2018,91,BEST PICTURE,Green Book,NA,NA
Nominee,2018,91,BEST PICTURE,Roma,NA,NA
Nominee,2018,91,BEST PICTURE,A Star Is Born,NA,NA
Nominee,2018,91,BEST PICTURE,Vice,NA,NA
Nominee,2019,92,ACTOR IN A LEADING ROLE,Antonio Banderas,Pain and Glory,Salvador
Nominee,2019,92,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,Once upon a Time...in Hollywood,Rick Dalton
Nominee,2019,92,ACTOR IN A LEADING ROLE,Adam Driver,Marriage Story,Charlie Barber
Winner,2019,92,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Joker,Arthur Fleck
Nominee,2019,92,ACTOR IN A LEADING ROLE,Jonathan Pryce,The Two Popes,Cardinal Jorge Bergoglio/Pope Francis
Nominee,2019,92,ACTOR IN A SUPPORTING ROLE,Tom Hanks,A Beautiful Day in the Neighborhood,Fred Rogers
Nominee,2019,92,ACTOR IN A SUPPORTING ROLE,Anthony Hopkins,The Two Popes,Cardinal Ratzinger/Pope Benedict
