Nominee,"Darkest Hour -- Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers"
Nominee,"Dunkirk -- Emma Thomas and Christopher Nolan, Producers"
Nominee,"Get Out -- Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers"
Nominee,"Lady Bird -- Scott Rudin, Eli Bush and Evelyn O'Neill, Producers"
Nominee,"Phantom Thread -- JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers"
Nominee,"The Post -- Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers"
Winner,"The Shape of Water -- Guillermo del Toro and J. Miles Dale, Producers"
Nominee,"Three Billboards outside Ebbing, Missouri -- Graham Broadbent, Pete Czernin and Martin McDonagh, Producers"
NA,2018 (91st)
NA,ACTOR IN A LEADING ROLE
Nominee,"Christian Bale -- Vice {""Dick Cheney""}"
Nominee,"Bradley Cooper -- A Star Is Born {""Jack""}"
Nominee,"Willem Dafoe -- At Eternity's Gate {""Vincent Van Gogh""}"
Winner,"Rami Malek -- Bohemian Rhapsody {""Freddie Mercury""}"
Nominee,"Viggo Mortensen -- Green Book {""Tony Lip""}"
NA,ACTOR IN A SUPPORTING ROLE
Winner,"Mahershala Ali -- Green Book {""Dr. Donald Shirley""}"
Nominee,"Adam Driver -- BlacKkKlansman {""Flip Zimmerman""}"
Nominee,"Sam Elliott -- A Star Is Born {""Bobby""}"
Nominee,"Richard E. Grant -- Can You Ever Forgive Me? {""Jack Hock""}"
Nominee,"Sam Rockwell -- Vice {""George W. Bush""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Yalitza Aparicio -- Roma {""Cleo""}"
Nominee,"Glenn Close -- The Wife {""Joan Castleman""}"
Winner,"Olivia Colman -- The Favourite {""Queen Anne""}"
Nominee,"Lady Gaga -- A Star Is Born {""Ally""}"
Nominee,"Melissa McCarthy -- Can You Ever Forgive Me? {""Lee Israel""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Amy Adams -- Vice {""Lynne Cheney""}"
Nominee,"Marina de Tavira -- Roma {""Sra. Sofia""}"
Winner,"Regina King -- If Beale Street Could Talk {""Sharon Rivers""}"
Nominee,"Emma Stone -- The Favourite {""Abigail""}"
Nominee,"Rachel Weisz -- The Favourite {""Lady Sarah""}"
NA,DIRECTING
Nominee,BlacKkKlansman -- Spike Lee
Nominee,Cold War -- Pawel Pawlikowski
Nominee,The Favourite -- Yorgos Lanthimos
Winner,Roma -- Alfonso Cuarón
Nominee,Vice -- Adam McKay
NA,BEST PICTURE
Nominee,"Black Panther -- Kevin Feige, Producer"
Nominee,"BlacKkKlansman -- Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers"
Nominee,"Bohemian Rhapsody -- Graham King, Producer"
Nominee,"The Favourite -- Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers"
Winner,"Green Book -- Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers"
Nominee,"Roma -- Gabriela Rodríguez and Alfonso Cuarón, Producers"
Nominee,"A Star Is Born -- Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers"
Nominee,"Vice -- Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers"
NA,2019 (92nd)
NA,ACTOR IN A LEADING ROLE
Nominee,"Antonio Banderas -- Pain and Glory {""Salvador""}"
Nominee,"Leonardo DiCaprio -- Once upon a Time...in Hollywood {""Rick Dalton""}"
Nominee,"Adam Driver -- Marriage Story {""Charlie Barber""}"
Winner,"Joaquin Phoenix -- Joker {""Arthur Fleck""}"
Nominee,"Jonathan Pryce -- The Two Popes {""Cardinal Jorge Bergoglio/Pope Francis""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Tom Hanks -- A Beautiful Day in the Neighborhood {""Fred Rogers""}"
Nominee,"Anthony Hopkins -- The Two Popes {""Cardinal Ratzinger/Pope Benedict""}"
Nominee,"Al Pacino -- The Irishman {""Jimmy Hoffa""}"
Nominee,"Joe Pesci -- The Irishman {""Russell Bufalino""}"
Winner,"Brad Pitt -- Once upon a Time...in Hollywood {""Cliff Booth""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Cynthia Erivo -- Harriet {""Harriet/Minty""}"
Nominee,"Scarlett Johansson -- Marriage Story {""Nicole Barber""}"
Nominee,"Saoirse Ronan -- Little Women {""Jo March""}"
Nominee,"Charlize Theron -- Bombshell {""Megyn Kelly""}"
Winner,"Renée Zellweger -- Judy {""Judy Garland""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Kathy Bates -- Richard Jewell {""Bobi Jewell""}"
Winner,"Laura Dern -- Marriage Story {""Nora Fanshaw""}"
Nominee,"Scarlett Johansson -- Jojo Rabbit {""Rosie""}"
Nominee,"Florence Pugh -- Little Women {""Amy March""}"
Nominee,"Margot Robbie -- Bombshell {""Kayla Pospisil""}"
NA,DIRECTING
Nominee,The Irishman -- Martin Scorsese
Nominee,Joker -- Todd Phillips
Nominee,1917 -- Sam Mendes
