tmdb_id,title,director,genres,release_date,budget,Cast 1,Cast 2,Cast 3,Cast 4,Cast 5,Cast 6,Cast 7,Cast 8,Cast 9,Cast 10,Cast 11,Cast 12,Cast 13,Cast 14,Cast 15
12498,Sling Blade,Billy Bob Thornton,Drama,1996-08-30,1200000,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,Lucas Black,Natalie Canerday,James Hampton,Robert Duvall,Rick Dial,Brent Briscoe,Christine Renee Ward,Sarah Boss,Kathy Sue Brown,Wendell Rafferty,Bruce Hampton
12405,Slumdog Millionaire,Danny Boyle,"Drama, Romance",2008-11-12,15000000,Dev Patel,Freida Pinto,Madhur Mittal,Anil Kapoor,Mahesh Manjrekar,Saurabh Shukla,Irrfan Khan,Ankur Vikal,Tanay Chheda,Ayush Mahesh Khedekar,Ashutosh Lobo Gajiwala,Azharuddin Mohammed Ismail,Tanvi Ganesh Lonkar,Rubina Ali,Raj Zutshi
6964,Something's Gotta Give,Nancy Meyers,"Drama, Comedy, Romance",2003-12-12,80000000,Jack Nicholson,Diane Keaton,Keanu Reeves,Frances McDormand,Amanda Peet,Jon Favreau,Paul Michael Glaser,Rachel Ticotin,Paige Butcher,Tanya Sweet,Kristine Szabo,Daniella van Graas,Tamara Spoelder,Sonja Francis,Vanessa Trump
13885,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"Drama, Horror",2007-12-21,50000000,Johnny Depp,Helena Bonham Carter,Alan Rickman,Timothy Spall,Sacha Baron Cohen,Jamie Campbell Bower,Laura Michelle Kelly,Jayne Wisener,Ed Sanders,Gracie May Weldon,Ava May,Jody Halse,Aron Paramor,Lee Whitlock,Nick Haverson
9684,Sweet and Lowdown,Woody Allen,"Comedy, Drama, Music",1999-12-03,29750000,Sean Penn,Samantha Morton,Anthony LaPaglia,Uma Thurman,James Urbaniak,John Waters,Gretchen Mol,Denis O'Hare,Molly Price,Brian Markinson,Tony Darrow,Daniel Okrent,Brad Garrett,Kaili Vernoff,Woody Allen
231,Syriana,Stephen Gaghan,"Drama, Thriller",2005-11-23,50000000,George Clooney,Matt Damon,Jeffrey Wright,Chris Cooper,Amanda Peet,William Hurt,Christopher Plummer,Alexander Siddig,Kayvan Novak,Amr Waked,Robert Foxworth,Nicky Henson,Nicholas Art,Steven Hinkle,Daisy Tormé
64,Talk to Her,Pedro Almodóvar,"Drama, Romance",2002-03-15,6500000,Leonor Watling,Rosario Flores,Javier Cámara,Darío Grandinetti,Mariola Fuentes,Geraldine Chaplin,Pina Bausch,Malou Airaudo,Caetano Veloso,Roberto Álvarez,Elena Anaya,Lola Dueñas,Adolfo Fernández,Ana Fernández,Chus Lampreave
2895,The Apostle,Robert Duvall,Drama,1997-12-19,5000000,Robert Duvall,Farrah Fawcett,Miranda Richardson,John Beasley,Walton Goggins,Billy Bob Thornton,June Carter Cash,Billy Joe Shaver,Rick Dial,Todd Allen,William Atlas Cole,Kevin Rankin,Renée Victor,Hunter Hayes,Terence Rosemore
4512,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,"Drama, Western",2007-09-20,30000000,Brad Pitt,Casey Affleck,Sam Rockwell,Paul Schneider,Jeremy Renner,Garret Dillahunt,Sam Shepard,Mary-Louise Parker,Zooey Deschanel,Ted Levine,Michael Parks,Alison Elliott,James Carville,Tom Aldredge,Hugh Ross
2567,The Aviator,Martin Scorsese,Drama,2004-12-17,110000000,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,Alec Baldwin,Alan Alda,Ian Holm,Danny Huston,Gwen Stefani,Jude Law,Adam Scott,Matt Ross,Kelli Garner,Frances Conroy,Brent Spiner
22881,The Blind Side,John Lee Hancock,Drama,2009-11-20,29000000,Sandra Bullock,Tim McGraw,Quinton Aaron,Jae Head,Lily Collins,Ray McKinnon,Kim Dickens,Adriane Lenox,Kathy Bates,Catherine Dyer,Andy Stahl,Tom Nowicki,Libby Whittemore,Brian Hollan,Melody Weintraub
1715,The Cider House Rules,Lasse Hallström,Drama,1999-12-17,24000000,Tobey Maguire,Charlize Theron,Michael Caine,Delroy Lindo,Paul Rudd,Jane Alexander,Kathy Baker,Erykah Badu,Kieran Culkin,Kate Nelligan,Heavy D,J.K. Simmons,Erik Per Sullivan,Paz de la Huerta,K. Todd Freeman
1985,The Constant Gardener,Fernando Meirelles,"Drama, Mystery, Thriller",2005-08-31,25000000,Ralph Fiennes,Rachel Weisz,Danny Huston,Bill Nighy,Pete Postlethwaite,Richard McCabe,Donald Sumpter,Juliet Aubrey,Hubert Koundé,Archie Panjabi,Gerard McSorley,Sidede Onyulo,Anneke Kim Sarnau,Daniele Harford,Packson Ngugi
6521,The Contender,Rod Lurie,"Drama, Thriller",2000-10-13,20000000,Joan Allen,Gary Oldman,Jeff Bridges,Christian Slater,Sam Elliott,William Petersen,Saul Rubinek,Philip Baker Hall,Robin Thomas,Kathryn Morris,Mike Binder,Kristen Shaw,Douglas Urbanski,Noah Fryrear,Angelica Page
10744,The Cooler,Wayne Kramer,"Romance, Drama",2003-11-26,4000000,William H. Macy,Alec Baldwin,Maria Bello,Shawn Hatosy,Ron Livingston,Paul Sorvino,Estella Warren,Arthur J. Nascarella,Joey Fatone,M.C. Gainey,Ellen Greene,Don Scribner,Tony Longo,Richard Israel,Timothy Landfield
20539,The Crucible,Nicholas Hytner,"Drama, History",1996-11-27,25000000,Daniel Day-Lewis,Winona Ryder,Paul Scofield,Joan Allen,Bruce Davison,Rob Campbell,Jeffrey Jones,Peter Vaughan,Karron Graves,Charlayne Woodard,Frances Conroy,Elizabeth Lawrence,George Gaynes,Mary Pat Gleason,Robert Breuler
4922,The Curious Case of Benjamin Button,David Fincher,"Drama, Fantasy, Romance",2008-12-25,150000000,Brad Pitt,Cate Blanchett,Taraji P. Henson,Julia Ormond,Jason Flemyng,Tilda Swinton,Mahershala Ali,Jared Harris,Elias Koteas,Phyllis Somerville,Faune Chambers Watkins,Donna DuPlantier,Jacob Tolano,Earl Maddox,Ed Metzger
155,The Dark Knight,Christopher Nolan,"Action, Crime, Thriller",2008-07-16,185000000,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Morgan Freeman,Monique Gabriela Curnen,Ron Dean,Cillian Murphy,Chin Han,Nestor Carbonell,Eric Roberts,Ritchie Coster,Anthony Michael Hall
1422,The Departed,Martin Scorsese,"Drama, Thriller, Crime",2006-10-04,90000000,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin,Kevin Corrigan,James Badge Dale,David O'Hara,Mark Rolston,Robert Wahlberg,Kristen Dalton
350,The Devil Wears Prada,David Frankel,"Drama, Comedy",2006-06-29,35000000,Meryl Streep,Anne Hathaway,Emily Blunt,Stanley Tucci,Simon Baker,Adrian Grenier,Tracie Thoms,Rich Sommer,Daniel Sunjata,David Marshall Grant,James Naughton,Tibor Feldman,Rebecca Mader,Jimena Hoyos,Gisele Bündchen
2013,The Diving Bell and the Butterfly,Julian Schnabel,"Drama, History",2007-05-23,14000020,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,Anne Consigny,Patrick Chesnais,Niels Arestrup,Olatz López Garmendia,Jean-Pierre Cassel,Marina Hands,Max von Sydow,Isaach de Bankolé,Emma de Caunes,Jean-Philippe Écoffey,Gérard Watkins,Nicolas Le Riche
20024,The End of the Affair,Neil Jordan,"Romance, Drama",1999-12-03,23000000,Ralph Fiennes,Julianne Moore,Stephen Rea,James Bolam,Ian Hart,Jason Isaacs,Deborah Findlay,Sam Bould,Cyril Shaps,Simon Turner,Heather-Jay Jones,Nicholas Hewetson,Jack McKenzie,Penny Morrell,Simon Fisher-Turner
409,The English Patient,Anthony Minghella,"Drama, Romance, War",1996-11-14,27000000,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Naveen Andrews,Colin Firth,Julian Wadham,Torri Higginson,Jürgen Prochnow,Kevin Whately,Clive Merrison,Nino Castelnuovo,Hichem Rostom,Peter Rühring,Geordie Johnson
9427,The Full Monty,Peter Cattaneo,Comedy,1997-08-13,3500000,Robert Carlyle,Mark Addy,Wim Snape,Steve Huison,Tom Wilkinson,Paul Barber,Hugo Speer,Lesley Sharp,Emily Woof,Deirdre Costello,Paul Butterworth,Dave Hill,Bruce Jones,Andrew Livingston,Vinny Dhillon
497,The Green Mile,Frank Darabont,"Fantasy, Drama, Crime",1999-12-10,60000000,Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Dabbs Greer,Eve Brent
590,The Hours,Stephen Daldry,Drama,2002-12-27,25000000,Julianne Moore,Nicole Kidman,Meryl Streep,Stephen Dillane,Miranda Richardson,Linda Bassett,Lyndsey Marshal,Christian Coulson,Michael Culkin,Charley Ramm,Sophie Wyburd,George Loftus,John C. Reilly,Toni Collette,Ed Harris
10400,The Hurricane,Norman Jewison,Drama,1999-09-17,50000000,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber,John Hannah,Dan Hedaya,Debbi Morgan,Clancy Brown,David Paymer,Harris Yulin,Rod Steiger,Badja Djola,Vincent Pastore,Al Waxman,David Lansbury
12162,The Hurt Locker,Kathryn Bigelow,"Drama, Thriller, War",2008-10-10,15000000,Jeremy Renner,Anthony Mackie,Brian Geraghty,David Morse,Guy Pearce,Evangeline Lilly,Ralph Fiennes,Christian Camargo,Christopher Sayegh,David Gueriera,Nabil Koni,Sam Spruell,Sam Redford,Erin Gann,Malcolm Barrett
9008,The Insider,Michael Mann,"Drama, Thriller",1999-10-28,90000000,Al Pacino,Russell Crowe,Christopher Plummer,Diane Venora,Philip Baker Hall,Lindsay Crouse,Debi Mazar,Stephen Tobolowsky,Colm Feore,Bruce McGill,Gina Gershon,Michael Gambon,Rip Torn,Lynne Thigpen,Hallie Eisenberg
1523,The Last King of Scotland,Kevin Macdonald,Drama,2006-09-27,6000000,Forest Whitaker,James McAvoy,Simon McBurney,Gillian Anderson,Kerry Washington,David Oyelowo,Abby Mukiibi Nkaaga,Adam Kotz,Barbara Rafferty,David Ashton,Sarah Nagayi,Stephen Rwangyezi,Sam Okelo,Dick Stockley,Chris Wilson
616,The Last Samurai,Edward Zwick,"Drama, Action, War",2003-12-05,140000000,Tom Cruise,Ken Watanabe,Timothy Spall,Tony Goldwyn,Hiroyuki Sanada,Koyuki,Shin Koyamada,Billy Connolly,Togo Igawa,Shichinosuke Nakamura,Masato Harada,William Atherton,Chad Lindberg,Scott Wilson,Ray Godshall Sr.
36811,The Last Station,Michael Hoffman,"Drama, Romance",2009-09-04,0,Helen Mirren,Christopher Plummer,Paul Giamatti,James McAvoy,John Sessions,Patrick Kennedy,Kerry Condon,Anne-Marie Duff,Tomas Spencer,David Masterson,Christian Gaul,Wolfgang Häntsch,,,
120,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Adventure, Fantasy, Action",2001-12-18,93000000,Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Ian Holm,Liv Tyler,Christopher Lee,Sean Bean,Billy Boyd,Dominic Monaghan,John Rhys-Davies,Orlando Bloom,Cate Blanchett,Hugo Weaving,Andy Serkis
122,The Lord of the Rings: The Return of the King,Peter Jackson,"Adventure, Fantasy, Action",2003-12-17,94000000,Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Andy Serkis,Dominic Monaghan,Billy Boyd,John Noble,David Wenham,Miranda Otto,Bernard Hill,John Rhys-Davies,Orlando Bloom,Hugo Weaving,Liv Tyler
121,The Lord of the Rings: The Two Towers,Peter Jackson,"Adventure, Fantasy, Action",2002-12-18,79000000,Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Andy Serkis,John Rhys-Davies,Orlando Bloom,Bernard Hill,Miranda Otto,Dominic Monaghan,Billy Boyd,Christopher Lee,Cate Blanchett,Liv Tyler,Hugo Weaving
7980,The Lovely Bones,Peter Jackson,"Fantasy, Drama",2009-12-26,65000000,Saoirse Ronan,Mark Wahlberg,Rachel Weisz,Susan Sarandon,Stanley Tucci,Rose McIver,Michael Imperioli,Carolyn Dando,Christian Ashdale,Reece Ritchie,Nikki SooHoo,Jake Abel,AJ Michalka,Tom McCarthy,Stink Fisher
28089,The Messenger,Oren Moverman,"Drama, Romance",2009-11-13,6500000,Ben Foster,Woody Harrelson,Jena Malone,Eamonn Walker,Samantha Morton,Steve Buscemi,Dale Soules,Stevie Ray Dallimore,Michael Chernus,Yaya DaCosta,Marceline Hugot,Lindsay Michelle Nader,Gaius Charles,Brendan Sexton III Peter Francis James,
25189,The Mirror Has Two Faces,Barbra Streisand,"Comedy, Drama, Romance",1996-11-15,42000000,Barbra Streisand,Jeff Bridges,Pierce Brosnan,Lauren Bacall,Mimi Rogers,George Segal,Brenda Vaccaro,Austin Pendleton,Elle Macpherson,Ali Marsh,Leslie Stefanson,Taina Elg,Lucy Avery Brooks,Amber Smith,David Kinzie
1630,The People vs. Larry Flynt,Miloš Forman,Drama,1996-12-25,36000000,Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson,Donna Hanover,James Cromwell,Crispin Glover,Vincent Schiavelli,Miles Chapin,James Carville,Richard Paul,Burt Neuborne,Jan Tříska,Cody Block,Ryan Post
423,The Pianist,Roman Polanski,"Drama, War",2002-09-17,35000000,Adrien Brody,Thomas Kretschmann,Frank Finlay,Maureen Lipman,Emilia Fox,Ed Stoppard,Julia Rayner,Jessica Kate Meyer,Michał Żebrowski,Wanja Mues,Richard Ridings,Nomi Sharron,Anthony Milner,Lucy Skeaping,Roddy Skeaping
36758,The Portrait of a Lady,Jane Campion,"Drama, Romance",1996-10-17,0,Nicole Kidman,John Malkovich,Barbara Hershey,Mary-Louise Parker,Christian Bale,Shelley Winters,Richard E. Grant,Shelley Duvall,John Gielgud,Viggo Mortensen,Martin Donovan,Roger Ashton-Griffiths,Catherine Zago,Alessandra Vanzi,Valentina Cervi
1402,The Pursuit of Happyness,Gabriele Muccino,Drama,2006-12-14,55000000,Will Smith,Jaden Smith,Thandiwe Newton,Brian Howe,James Karen,Dan Castellaneta,Kurt Fuller,Takayo Fischer,Kevin West,George Cheung,David Michael Silverman,Domenic Bove,Geoff Callan,Joyful Raven,Scott Klace
1165,The Queen,Stephen Frears,"Drama, History",2006-09-15,15000000,Helen Mirren,Michael Sheen,James Cromwell,Helen McCrory,Alex Jennings,Roger Allam,Sylvia Syms,Paul Barrett,Tim McMullan,Douglas Reith,Mark Bazeley,Robin Soans,Lola Peploe,Joyce Henderson,Pat Laffan
